posting_date,id,region,price,year,manufacturer,model,condition,cylinders,fuel,odometer,title_status,transmission,VIN,drive,size,type,state,lat,long,odometer_tier,description,tx_avg
2021-04-22T09:15:18-0700,7310881709,bend,41977.0,2020,ford,f-150,excellent,,gas,29320.0,clean,automatic,1FTEW1E55LFA63045,4wd,,pickup,or,44.039006,-121.303704,mid_mi,2020 ford f-150 mid_mi,37500.0
2021-05-03T14:35:28-0700,7316446834,SF bay area,41988.0,2020,ford,f-150,excellent,6 cylinders,gas,29268.0,clean,automatic,1FTEW1E49LFA26877,4wd,mid-size,truck,ca,38.62176,-122.87297,mid_mi,2020 ford f-150 mid_mi,37500.0
2021-04-09T07:21:06-0600,7304097656,santa fe / taos,50590.0,2020,ford,f150 supercrew cab lariat,good,6 cylinders,gas,6588.0,clean,automatic,1FTEW1E40LFA20465,4wd,,pickup,nm,35.67,-105.95,low_mi,2020 ford f150 supercrew cab lariat low_mi,46990.0
2021-04-15T05:01:11-0400,7307077463,williamsport,39990.0,2020,ram,1500 crew cab big horn,good,6 cylinders,gas,6841.0,clean,automatic,1C6RRFFG0LN287052,4wd,,pickup,pa,41.23,-77.03,low_mi,2020 ram 1500 crew cab big horn low_mi,38590.0
2021-05-04T16:40:52-0700,7317018294,spokane / coeur d'alene,48987.0,2020,gmc,sierra 1500 sle,good,,gas,22998.0,clean,other,1GTU9BED5LZ229515,,,pickup,wa,47.713556,-116.91795,low_mi,2020 gmc sierra 1500 sle low_mi,49888.0
2021-04-29T15:36:55-0400,7314475480,south florida,50000.0,2020,ford,f-150 xlt,like new,8 cylinders,gas,16434.0,clean,automatic,1FTEW1E58LFA00196,rwd,full-size,pickup,fl,26.146655,-80.340014,low_mi,2020 ford f-150 xlt low_mi,44575.0
2021-04-16T12:55:06-0400,7307782418,grand rapids,36595.0,2020,ford,f-150,excellent,6 cylinders,gas,37407.0,clean,automatic,1FTFW1E41LFB21311,4wd,full-size,truck,mi,43.057538,-85.954644,mid_mi,2020 ford f-150 mid_mi,37500.0
2021-04-26T16:34:31-0400,7313014789,fort wayne,38498.0,2020,ram,1500,excellent,,gas,15734.0,clean,automatic,1C6RRFFG1LN230584,4wd,,pickup,in,40.573231,-84.184755,low_mi,2020 ram 1500 low_mi,59995.0
2021-05-03T15:21:05-0400,7316368571,atlanta,39990.0,2020,ford,f150 supercrew cab xl,good,,other,2766.0,clean,other,1FTEW1CPXLFC62726,,,pickup,ga,33.7,-84.38,low_mi,2020 ford f150 supercrew cab xl low_mi,40990.0
2021-04-09T05:11:27-0500,7304052600,lafayette,47590.0,2020,ford,f150 supercrew cab lariat,good,6 cylinders,gas,9172.0,clean,other,1FTEW1E45LFA20204,4wd,,pickup,la,30.21,-92.02,low_mi,2020 ford f150 supercrew cab lariat low_mi,46990.0
